Unknown
Handball
Intentional handball
Holding
Off-the-ball infraction
Dangerous play
Reckless challenge
Excessive celebration
Simulation
Dissent
Persistent infringement
Delaying restart
Deadball encroachment
Unauthorized field entrance/exit
Serious foul play
Violent conduct
Abusive language
Spitting
Professional foul
Handball denied scoring opportunity
